fpr,tpr,panel,predicted_probability,observed_frequency
0.4125,0.90125,roc,,
0.421875,0.90125,roc,,
0.421875,0.9025,roc,,
0.428125,0.9025,roc,,
0.428125,0.90375,roc,,
0.43125,0.90375,roc,,
0.43125,0.905,roc,,
0.434375,0.905,roc,,
0.434375,0.90625,roc,,
0.440625,0.90625,roc,,
0.440625,0.9075,roc,,
0.44375,0.9075,roc,,
0.44375,0.90875,roc,,
0.446875,0.90875,roc,,
0.446875,0.91125,roc,,
0.46875,0.91125,roc,,
0.46875,0.9125,roc,,
0.471875,0.9125,roc,,
0.471875,0.91375,roc,,
0.475,0.91375,roc,,
0.475,0.915,roc,,
0.484375,0.915,roc,,
0.484375,0.91875,roc,,
0.4875,0.91875,roc,,
0.4875,0.92,roc,,
0.496875,0.92,roc,,
0.496875,0.9225,roc,,
0.503125,0.9225,roc,,
0.503125,0.925,roc,,
0.521875,0.925,roc,,
0.521875,0.92625,roc,,
0.553125,0.92625,roc,,
0.553125,0.9275,roc,,
0.5625,0.9275,roc,,
0.5625,0.92875,roc,,
0.584375,0.92875,roc,,
0.584375,0.93125,roc,,
0.596875,0.93125,roc,,
0.596875,0.9325,roc,,
0.6,0.9325,roc,,
0.6,0.9375,roc,,
0.60625,0.9375,roc,,
0.60625,0.93875,roc,,
0.609375,0.93875,roc,,
0.609375,0.94,roc,,
0.6125,0.94,roc,,
0.6125,0.94125,roc,,
0.628125,0.94125,roc,,
0.628125,0.945,roc,,
0.6375,0.945,roc,,
0.6375,0.94625,roc,,
0.65625,0.94625,roc,,
0.65625,0.94875,roc,,
0.66875,0.94875,roc,,
0.66875,0.95,roc,,
0.7,0.95,roc,,
0.7,0.95125,roc,,
0.7125,0.95125,roc,,
0.7125,0.9525,roc,,
0.715625,0.9525,roc,,
0.715625,0.95375,roc,,
0.728125,0.95375,roc,,
0.728125,0.955,roc,,
0.73125,0.955,roc,,
0.73125,0.9575,roc,,
0.753125,0.9575,roc,,
0.753125,0.95875,roc,,
0.75625,0.95875,roc,,
0.75625,0.96,roc,,
0.76875,0.96,roc,,
0.76875,0.96125,roc,,
0.771875,0.96125,roc,,
0.771875,0.9625,roc,,
0.784375,0.9625,roc,,
0.784375,0.96375,roc,,
0.790625,0.96375,roc,,
0.790625,0.965,roc,,
0.79375,0.965,roc,,
0.79375,0.96625,roc,,
0.80625,0.96625,roc,,
0.80625,0.9675,roc,,
0.815625,0.9675,roc,,
0.815625,0.96875,roc,,
0.81875,0.96875,roc,,
0.81875,0.97,roc,,
0.821875,0.97,roc,,
0.821875,0.97375,roc,,
0.83125,0.97375,roc,,
0.83125,0.975,roc,,
0.8375,0.975,roc,,
0.8375,0.97625,roc,,
0.85625,0.97625,roc,,
0.85625,0.98,roc,,
0.8625,0.98,roc,,
0.8625,0.98125,roc,,
0.86875,0.98125,roc,,
0.86875,0.9825,roc,,
0.875,0.9825,roc,,
0.875,0.98625,roc,,
0.884375,0.98625,roc,,
0.884375,0.9875,roc,,
0.8875,0.9875,roc,,
0.8875,0.98875,roc,,
0.89375,0.98875,roc,,
0.89375,0.99,roc,,
0.903125,0.99,roc,,
0.903125,0.99125,roc,,
0.90625,0.99125,roc,,
0.90625,0.9925,roc,,
0.909375,0.9925,roc,,
0.909375,0.99375,roc,,
0.9125,0.99375,roc,,
0.9125,0.9975,roc,,
0.95,0.9975,roc,,
0.95,0.99875,roc,,
0.971875,0.99875,roc,,
0.971875,1.0,roc,,
1.0,1.0,roc,,
,,calibration,0.047117005091907624,0.2857142857142857
,,calibration,0.23067101445620203,0.3357142857142857
,,calibration,0.5258819060953696,0.6214285714285714
,,calibration,0.7139537915981113,0.8714285714285714
,,calibration,0.8127062570802942,0.8142857142857143
,,calibration,0.8859417185596878,0.8714285714285714
,,calibration,0.9411395417614019,0.9142857142857143
,,calibration,0.9887759795702712,1.0
