glass_type,left_out_artifact,effect_norm,direction_agreement,fit_success,failure_reason
高钾,01,2.709943010506486,1.0,1,
高钾,03,2.6257675089339187,0.7777777777777778,1,
高钾,04,2.685554058527353,1.0,1,
高钾,05,2.6769244740700473,1.0,1,
高钾,06,2.5018925176084132,1.0,1,
高钾,07,2.902261393391216,1.0,1,
高钾,09,2.6819243914675743,1.0,1,
高钾,10,2.603942803583585,1.0,1,
高钾,12,2.713578754010605,1.0,1,
高钾,13,2.6500650731012176,1.0,1,
高钾,14,2.820664591922531,1.0,1,
高钾,16,2.686252385452936,0.7777777777777778,1,
高钾,18,2.8139466183287367,1.0,1,
高钾,21,2.5950811559022724,0.7777777777777778,1,
高钾,22,2.8947043536841455,1.0,1,
高钾,27,2.951180528263129,1.0,1,
铅钡,02,2.001386673589256,0.9230769230769231,1,
铅钡,08,1.9207727732682545,1.0,1,
铅钡,11,1.9294044325237443,1.0,1,
铅钡,19,1.9336543670530502,0.9230769230769231,1,
铅钡,20,2.0403456922266248,1.0,1,
铅钡,23,1.9899891529313336,1.0,1,
铅钡,24,1.9274583158430025,0.9230769230769231,1,
铅钡,25,1.8943139835883713,1.0,1,
铅钡,26,1.9201028696712348,1.0,1,
铅钡,28,1.9338226898961073,1.0,1,
铅钡,29,1.9022027099961065,1.0,1,
铅钡,30,1.9904861735016521,1.0,1,
铅钡,31,1.9289987884176674,1.0,1,
铅钡,32,1.8552516251469875,0.9230769230769231,1,
铅钡,33,1.854777382024793,0.9230769230769231,1,
铅钡,34,2.0102910500678215,1.0,1,
铅钡,35,1.9223442581007446,0.9230769230769231,1,
铅钡,36,2.076478091795887,1.0,1,
铅钡,37,1.9559290787648063,1.0,1,
铅钡,38,1.998038815140528,1.0,1,
铅钡,39,1.948041565214554,1.0,1,
铅钡,40,1.8957863940139772,1.0,1,
铅钡,41,1.9464364873223468,1.0,1,
铅钡,42,1.9207975256433476,1.0,1,
铅钡,43,1.9235051209490985,1.0,1,
铅钡,44,1.9644629751567082,1.0,1,
铅钡,45,1.9679739078571536,1.0,1,
铅钡,46,1.8940423484404523,1.0,1,
铅钡,47,1.8673744024678272,0.9230769230769231,1,
铅钡,48,2.022919328876793,1.0,1,
铅钡,49,2.0012583603892318,1.0,1,
铅钡,50,2.007615840928397,1.0,1,
铅钡,51,1.9473051247396895,1.0,1,
铅钡,52,1.9094047366666282,1.0,1,
铅钡,53,1.9580031852371573,1.0,1,
铅钡,54,1.9549125359137562,1.0,1,
铅钡,55,1.9330388714195639,1.0,1,
铅钡,56,1.9630617788906801,1.0,1,
铅钡,57,1.9525735749077207,1.0,1,
铅钡,58,1.9300080754931324,0.9230769230769231,1,
