repeat_id/final,feature_or_balance,numerator_components,denominator_components,coefficient,odds_ratio_per_sd,selected
r18_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.4552527561473082,1.576571820897465,1
r18_f3,钾_相对_铅钡,K2O,PbO+BaO,-3.5699139588028337,0.02815827634788111,1
r18_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-3.25538629279702,0.03856592004843405,1
r18_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-2.4545393957845567,0.08590275350054354,1
r18_f4,钾_相对_铅钡,K2O,PbO+BaO,-5.16776797787569,0.005697271073173711,1
r18_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.039502220597846,0.006476971619036779,1
r18_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.106295953553965,0.016468662381320723,1
r19_f0,钾_相对_铅钡,K2O,PbO+BaO,-7.23621320306037,0.0007200332236500503,1
r19_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-8.909414483986067,0.00013511092044086675,1
r19_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-7.321912582880612,0.0006608969814170281,1
r19_f1,钾_相对_铅钡,K2O,PbO+BaO,-5.087766346387212,0.006171790143804012,1
r19_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.671069965380235,0.0034441781525210353,1
r19_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.459408683132503,0.011569202329729788,1
r19_f2,钾_相对_铅钡,K2O,PbO+BaO,-4.511327290190051,0.01098387171121454,1
r19_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-4.813976251647708,0.008115526083027142,1
r19_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.202800640502409,0.01495363835537161,1
r19_f3,钾_相对_铅钡,K2O,PbO+BaO,-7.805994494843077,0.00040728617177528603,1
r19_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-10.033485193557443,4.390487511657049e-05,1
r19_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-9.186668172153428,0.00010239546103683646,1
r19_f4,钾_相对_铅钡,K2O,PbO+BaO,-1.2157464487232614,0.296488618123421,1
r19_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.6032604210392472,1.8280693702735475,1
