repeat_id,outer_fold,model,config_json
2,0,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 5, ""threshold"": 0.5}"
2,0,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.4}"
2,1,Logistic,"{""C"": 1000, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
2,1,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
2,1,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
2,2,Logistic,"{""C"": 1, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡""], ""threshold"": 0.8}"
2,2,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 3, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
2,2,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.3, ""threshold"": 0.5}"
2,3,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.56}"
2,3,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 2, ""min_samples_leaf"": 4, ""threshold"": 0.5}"
2,3,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.4700000000000001}"
2,4,Logistic,"{""C"": 1, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝""], ""threshold"": 0.5}"
2,4,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
2,4,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.3, ""threshold"": 0.5}"
3,0,Logistic,"{""C"": 1000, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.53}"
3,0,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 5, ""threshold"": 0.5}"
3,0,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
3,1,Logistic,"{""C"": 10, ""class_weight"": ""none"", ""features"": [""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
3,1,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 3, ""min_samples_leaf"": 5, ""threshold"": 0.33000000000000007}"
3,1,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.1, ""threshold"": 0.5}"
3,2,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
3,2,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
3,2,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
3,3,Logistic,"{""C"": 1000, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.44000000000000006}"
3,3,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
3,3,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.3, ""threshold"": 0.5}"
3,4,Logistic,"{""C"": 0.01, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡""], ""threshold"": 0.5}"
3,4,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
