attribute,test_used,statistic,df,p_raw,p_fdr,cramer_v_corrected,v_ci_low,v_ci_high,bootstrap_success_rate,monte_carlo_se,n_artifacts
glass_type,Pearson_chi_square,6.8803921568627455,1,0.008714644061182655,0.026143932183547967,0.32076261543731194,0.0,0.5754964170379065,1.0,,58
pattern,fixed_margin_label_permutation_10000,4.9565359477124185,2,0.10628937106289371,0.15943405659434057,0.22642715760942025,0.0,0.43288607774823407,1.0,0.0030820762589843266,58
color,fixed_margin_label_permutation_10000,9.432446311858078,8,0.31526847315268475,0.31526847315268475,0.15058326642775174,0.0,0.5101082191578256,1.0,0.004646227103668735,58
