glass_type,coordinate,diagnostic,residual_mean,residual_sd,residual_skew,residual_kurtosis,shapiro_p,abs_corr_fitted_residual,flag
高钾,ilr_1,weighted_linear_residual_summary,-8.049116928532385e-16,0.542935458066184,-0.9788448289521284,1.1320510921159892,0.06287968694544335,0.030656874132325238,ok_or_low_power
高钾,ilr_2,weighted_linear_residual_summary,-4.440892098500626e-16,0.4094446287845018,-0.3454501762671906,1.7033256911064152,0.208920964024024,0.03935651367118604,ok_or_low_power
高钾,ilr_3,weighted_linear_residual_summary,-1.2212453270876722e-15,0.5082799074483352,0.6419905225910445,-0.5004710028263779,0.30906076935916965,0.06145845870773199,ok_or_low_power
高钾,ilr_4,weighted_linear_residual_summary,-2.0122792321330962e-16,0.33273236678566304,-0.31325717818944815,0.22412394504776412,0.3361889499919165,0.05467690066351649,ok_or_low_power
高钾,ilr_5,weighted_linear_residual_summary,-7.771561172376096e-16,0.5805323219892302,0.7626041831343895,0.443491025036892,0.025572284375727325,0.060083312131347884,review
高钾,ilr_6,weighted_linear_residual_summary,-4.544975507059235e-16,0.5279282233425258,0.8410280942107534,0.4882176621419214,0.3885444747031683,0.004451972244302563,ok_or_low_power
高钾,ilr_7,weighted_linear_residual_summary,-1.3461454173580023e-15,0.5958063591465157,-1.0790676176773115,1.5684109553559011,0.10050985474531726,0.00862320929860755,ok_or_low_power
高钾,ilr_8,weighted_linear_residual_summary,-4.0245584642661925e-16,0.2542389951278904,0.22838665527912105,-0.20656956762308232,0.811996568778464,0.03357453634196929,ok_or_low_power
高钾,ilr_9,weighted_linear_residual_summary,-6.730727086790012e-16,0.6544727294194856,0.04354004634438678,0.9147627500184123,0.38180271330398663,0.05990681905700929,ok_or_low_power
高钾,ilr_10,weighted_linear_residual_summary,-2.6367796834847468e-15,0.20599784416911404,-0.06131818118045339,0.30546483846111716,0.9483841693155539,0.06845089306588148,ok_or_low_power
铅钡,ilr_1,weighted_linear_residual_summary,8.326672684688674e-18,0.4266678854532545,-0.20196807183490423,3.1565337443359986,0.0041227098107447105,0.0707817388614371,review
铅钡,ilr_2,weighted_linear_residual_summary,3.9412917374193055e-16,0.4279006217085381,-1.0794450130565338,2.932429811594492,0.0009800818316199993,0.009937768968859593,review
铅钡,ilr_3,weighted_linear_residual_summary,-5.551115123125783e-17,0.616587109577472,0.24763203847966642,-0.5956874362460947,0.6431955259381443,0.026694099804130594,ok_or_low_power
铅钡,ilr_4,weighted_linear_residual_summary,2.7755575615628914e-17,0.3265148363098201,0.6260129002834953,-0.2661280972859661,0.025271251502372957,0.06729441689559366,review
铅钡,ilr_5,weighted_linear_residual_summary,-1.1102230246251566e-17,0.5896526916320386,-0.045334117663855235,1.023508886718191,0.49354288474038316,0.008020806585161272,ok_or_low_power
铅钡,ilr_6,weighted_linear_residual_summary,2.0816681711721685e-16,0.5280839081815758,0.44185513093382706,0.6728541575398186,0.1506001285474618,0.02269206674095418,ok_or_low_power
铅钡,ilr_7,weighted_linear_residual_summary,3.8857805861880476e-17,0.9950439627886623,-0.2766167120692438,0.22152536701000214,0.1366000845300503,0.04987788550831516,ok_or_low_power
铅钡,ilr_8,weighted_linear_residual_summary,-3.4416913763379854e-16,0.46663937626024693,0.44939122047951846,0.43047092131653697,0.5719433719365404,0.04708868035922077,ok_or_low_power
铅钡,ilr_9,weighted_linear_residual_summary,-1.0824674490095276e-16,0.5583888828301204,-0.015834917545342924,0.07382055669115672,0.6642506776137518,0.03053097898035508,ok_or_low_power
铅钡,ilr_10,weighted_linear_residual_summary,-1.7763568394002506e-16,1.1839770115799382,0.8016543287267737,-0.015960381158004466,0.007764234023363712,0.035085928038802325,review
铅钡,ilr_11,weighted_linear_residual_summary,3.608224830031759e-17,0.5007730176595714,-0.29273879580931833,-0.4149834740492526,0.28956032182489544,0.07523515052533818,ok_or_low_power
铅钡,ilr_12,weighted_linear_residual_summary,1.3877787807814457e-16,0.3028152279068569,-1.2621364044782235,2.4636416874516662,0.0029275008789080904,0.03840173944144891,review
铅钡,ilr_13,weighted_linear_residual_summary,1.8041124150158794e-17,0.3172836007415178,-1.5122222161717673,4.189709897052518,0.00014201015070764868,0.024260373835563384,review
